"sample_id","x_ctr","y_ctr","weather","prev_fire.x","date","rdnbr","elev_m","slope_deg","aspect_deg","TPH_trees","BA_m2_ha","CC_pct","CH_m","CFL_kg_m2","CBD_kg_m3","CBH_m","CWD_cover_pct","CWD_Mg_ha","Shrub_cover_pct","Shrub_ht_m"
1,517300.566628735,4874592.75183592,"moderate","none","809",198,2399.50479476258,9.53231873504552,125.882703286732,1769.16293919433,41.7164706329865,57.9906598380371,27.3082291844331,1.85347840712045,0.108863672931442,0.322873672543768,7.30226289335735,51.6125682880921,51.0179923810181,0.60236280865163
2,522508.599714274,4869305.91243608,"moderate","wilcox","829",719,2343.71843596181,25.4624502347045,336.128358062272,887.981675724017,0.473616757304687,0,7.39149952231759,0.0301691566917435,0.0010434775786486,2.38541600659804,18.9329050609903,300,43.960527525413,1.74266303933208
3,515804.687691791,4873659.89380179,"moderate","none","902",564,2606.59252717094,3.60731488626059,62.3123488748336,2765.74539085796,28.9064653811747,42.1731921969697,26.2028609278282,0.830096550434164,0.0744081087337222,0.372581564488622,2.62583446203329,245.477661433798,4.66931240494401,0.615655007362585
4,520376.21285611,4872901.41866316,"moderate","none","821",600,2491.28487573501,20.5885385227314,47.4397295680997,569.142417367513,35.4660041625438,66.7842466956164,25.744671410425,2.79621774364601,0.259174532106982,0.111167346096066,6.76496569606812,13.1636753624548,72.8677264964065,0.393614601291469
5,522429.219192583,4869989.22749669,"moderate","wilcox","828",435,2109.12583251953,8.73103260444556,325.74040836377,995.557636208195,6.21373836777925,0,2.81266755520664,1.10543882343447,0,4.46893567618989,45.021421486842,300,19.8910313770417,1.10656757615133
6,526744.56169467,4885229.15926607,"moderate","none","917",1,2112.02120290962,5.52480006958034,239.773743407961,2686.10003423586,25.5406727859238,44.8162521919549,17.2928585539668,0.834318242481853,0.0582143106880794,0.526181359515579,8.50372432776295,32.5454199681756,25.0895193887425,0.579542984745722
7,522796.042909319,4868655.57893294,"moderate","wilcox","830",690,2565.74648775695,14.8572042612051,38.0570379550167,3276.83007383744,0.301483975412949,0,6.09442644577983,0.6147505579186,0,4.41015836258704,16.381190595087,300,5.55384440564838,1.55175087886954
8,523365.809868642,4869472.02443187,"moderate","wilcox","827",324,2365.13513920193,24.0030873044061,85.8490174483175,4801.62705778304,4.20396184888136,28.5143728100358,2.04990040083145,1.46552829673223,0.00445374492843637,0.943814039230564,50,300,0,0.791072498322118
9,518150.053740396,4873668.27086837,"moderate","none","821",929,2223.49304241973,7.48209520694996,155.033826692966,4362.46204316053,26.1025631749483,30.054905198339,21.6730662764536,0.627236282915292,0.0713599376566224,0.130661303287935,13.0895381061726,264.69317912822,6.88517742810228,0.897719160867632
10,517568.955858326,4874060.35346347,"moderate","none","821",241,2351.98667013687,8.3451396299017,70.4897539468612,3713.65465719034,39.9455090420591,57.4703425353925,27.4118475213821,1.78697279765447,0.114955052152929,0.32765151954881,2.19217556595091,23.2720382789293,7.94804004567227,0.643215797237361
11,519184.598730148,4874437.33784008,"moderate","none","815",1113,2458.49419892943,13.8502475406425,275.41146560115,3233.08503743948,28.2588760940397,51.9940769930502,20.2576877579657,1.89358954131685,0.203164432486099,0.137644814954789,12.3262028758423,73.0056210712218,33.1929216948347,0.975125634639235
12,520041.939408201,4869671.46948905,"moderate","none","830",917,2269.01191274282,12.2538728988187,270.472234503883,1979.86092656973,30.1504703502169,31.76826568167,23.7752316827201,0.775056566936817,0.0331867380687811,0.970594215519699,9.35686744062384,121.190667450332,3.83469719554284,0.696833544211009
13,518079.661073503,4875623.93799286,"moderate","none","829",1096,2341.5198097897,15.913326741871,223.412828383739,3783.16323904514,20.1260650114425,44.1861361064251,21.2935184988836,0.8972953141745,0.0952698974033949,0.614522324377386,7.07635797802585,113.893298221309,14.1897864631444,1.14273927574587
14,519720.826679971,4874703.85363364,"moderate","none","817",346,2366.77140991211,18.5120789692938,21.5323762614263,824.405022732038,42.2578665245489,65.0942464012655,29.0805871274022,2.49013038670691,0.202167608736639,0.264801497171551,7.7481842447343,8.60838504289101,62.4630293847908,0.437513369042441
15,519475.104972526,4872819.15912104,"moderate","none","821",1110,2218.49224962845,8.04434736090952,252.466439358993,1974.422787319,36.5952210803925,55.38690806996,24.5906879723887,0.937896444793787,0.0537806664412664,0.992396774394564,15.0494740238049,93.0130549091335,31.544687816652,0.571670688320542
16,518012.569931637,4874523.98596483,"moderate","none","815",1301,2329.11948720654,16.1918902021795,128.717942689804,4879.87425924654,41.2278805375195,56.140292509976,23.3568925946241,1.61369786596008,0.145741674592762,0.233712287188339,7.43650557977334,57.6684275551575,5.58947498602479,0.506348045519604
17,520977.580899668,4872573.10046145,"moderate","none","821",778,2324.94493801746,37.5127741197211,85.1700057038923,3641.52940480323,14.8154737792767,26.2920960119824,17.5774325449274,0.376254686301445,0.0791848378420735,0.0735745266187871,18.3046860393421,300,25.3738700637779,0.983723968588034
