"Plot_code","Q","Species","Height_m_1","Height_m_2","Height_m_3","Live_count","Dead_count"
"Con_12_1","1","ABLA",0.8,0.7,NA,24,0
"Con_12_1","1","PICO",0.3,NA,NA,1,0
"Con_12_1","4","PICO",1,0.6,NA,2,0
"Con_12_1","4","PSME",1.1,NA,NA,1,0
"Con_12_1","4","ABLA",0.1,0.3,NA,2,0
"Con_12_1","3","ABLA",1.3,0.5,NA,2,0
"Con_12_1","2","PIAL",1.2,0.7,NA,9,1
"Con_12_1","2","ABLA",0.5,NA,NA,1,0
"Con_13_1-CWD","2","PICO",1,NA,NA,1,0
"Con_13_2","3","ABLA",0.5,0.3,0.8,19,0
"Con_13_2","2","ABLA",0.8,1.2,1.2,14,0
"Con_14_1","1","POTR",0.6,NA,NA,1,0
"Con_14_1","3","PICO",0.3,0.3,0.6,9,0
"Con_14_1","2","PICO",0.3,NA,NA,1,0
"Con_21_1","1","ABLA",0.5,0.2,NA,7,0
"Con_21_1","4","ABLA",0.8,0.4,0.4,11,0
"Con_21_1","4","PIAL",0.2,NA,NA,3,0
"Con_21_1","2","ABLA",0.6,1.3,0.8,15,0
"Con_21_1","2","PICO",1.1,NA,NA,4,0
"Con_21_1","3","ABLA",0.7,1.3,0.7,30,1
"Con_22_1","1","ABLA",0.9,0.1,NA,5,0
"Con_22_1","4","ABLA",0.7,1.1,0.3,6,0
"Con_22_1","3","ABLA",0.1,0.2,NA,3,0
"Con_22_1","2","PIAL",0.1,NA,NA,1,0
"Con_22_1","2","ABLA",0.2,NA,NA,1,0
"Con_22_1","2","POTR",0.3,NA,NA,1,0
"Con_22_2","3","PICO",1.1,NA,NA,1,0
"Con_22_2","2","PICO",0.7,0.2,NA,2,0
"Con_23_1","Unknown","ABLA",0.6,0.4,0.4,11,0
"Con_23_1","Unknown","PICO",1.1,1.1,NA,3,0
"Con_24_1","1","ABLA",0.6,0.7,NA,9,7
"Con_24_1","1","PIEN",1,NA,NA,1,0
"Con_24_1","2","ABLA",0.6,0.5,0.3,5,0
"Con_24_1","2","PIEN",0.7,NA,NA,1,0
"Con_24_1","3","ABLA",0.5,1,1.2,5,0
"Con_24_1","4","ABLA",0.4,0.3,0.5,5,0
"Con_24_1","4","PIEN",0.9,1,NA,5,0
"Con_31_1","3","PIAL",1.1,NA,NA,1,0
"Con_31_1","2","PICO",0.3,1.3,0.6,4,0
"Con_32_1","1","ABLA",0.7,0.3,NA,7,0
"Con_32_1","1","PSME",1,NA,NA,1,0
"Con_32_1","2","ABLA",1,NA,NA,11,0
"Con_32_1","2","PSME",0.6,1.1,NA,2,0
"Con_32_1","3","PIAL",1.2,NA,NA,1,0
"Con_32_1","3","ABLA",0.8,0.7,NA,12,0
"Con_32_1","4","ABLA",1,0.5,NA,4,0
"Con_32_1","4","PICO",0.9,NA,NA,1,0
"Con_32_2","4","POTR",1,0.8,NA,2,0
"Con_32_2","4","PICO",0.3,NA,NA,1,0
"Con_32_2","3","POTR",0.6,NA,NA,1,0
"Con_33_1","2","ABLA",1.2,0.8,NA,6,0
"Con_33_1","3","ABLA",0.7,NA,NA,2,0
"Con_33_1","3","PICO",0.9,NA,NA,1,0
"Con_33_2","1","ABLA",0.4,0.2,0.2,12,4
"Con_33_2","1","PIEN",0.2,0.9,1.3,10,0
"Con_33_2","1","PICO",0.4,NA,NA,1,2
"Con_33_2","1","PIAL",0.7,0.1,NA,3,0
"Con_33_2","4","PIEN",0.6,0.6,NA,3,4
"Con_33_2","4","ABLA",0.5,0.5,0.6,10,1
"Con_33_2","4","PICO",0.2,NA,NA,1,0
"Con_33_2","3","PICO",0.6,NA,NA,1,0
"Con_33_2","3","ABLA",0.4,0.8,NA,2,1
"Con_33_2","3","PIEN",0.9,NA,NA,1,0
"Con_33_2","2","ABLA",1.2,0.7,0.3,3,0
"Con_34_2","1","PICO",0.7,0.7,NA,2,0
"Con_34_2","1","PIEN",0.4,NA,NA,1,0
"Con_34_2","4","ABLA",0.8,NA,NA,2,0
"Con_34_2","4","PICO",0.3,NA,NA,1,0
"Con_34_2","3","PICO",0.9,0.4,0.5,7,0
"Con_34_2","2","ABLA",0.6,0.2,NA,2,0
"Con_34_2","2","PICO",0.9,0.7,NA,2,0
"Con_41_1","1","PICO",1.1,1.3,NA,2,0
"Con_41_1","2","PICO",1.1,NA,NA,1,0
"Con_41_1","2","ABLA",0.5,1.3,0.6,12,0
"Con_41_1","2","PIAL",0.4,NA,NA,1,0
"Con_41_1","3","ABLA",0.1,0.9,0.7,15,0
"Con_41_1","4","ABLA",0.1,0.1,NA,5,0
"Con_41_1","4","PICO",0.6,1.3,NA,2,0
"Con_42_1","1","PICO",0.5,0.1,NA,4,0
"Con_42_1","4","PICO",0.6,0.6,0.2,3,0
"Con_42_1","3","PICO",0.8,0.5,NA,13,0
"Con_42_1","2","ABLA",0.6,0.4,NA,3,0
"Con_42_1","2","PICO",0.8,0.7,NA,6,0
"Con_42_2","1","ABLA",1.1,0.6,1.1,16,1
"Con_42_2","4","ABLA",0.9,0.5,NA,5,1
"Con_42_2","4","PIEN",0.5,NA,NA,1,1
"Con_42_2","3","ABLA",0.5,0.8,NA,3,0
"Con_42_2","2","ABLA",0.1,0.1,NA,9,0
"Con_43_2","4","POTR",0.5,NA,NA,1,0
"Con_43_2","1","PSME",0.3,NA,NA,1,0
"Con_43_2","1","POTR",0.5,1.1,NA,2,0
"Con_43_2","2","PSME",1.4,NA,NA,1,1
"Con_43_2","3","PSME",0.6,NA,NA,1,0
"Con_43_2","3","PICO",0.5,NA,NA,1,0
"Con_44_2","4","ABLA",0.5,NA,NA,1,0
"Con_44_2","3","ABLA",0.3,0.3,NA,4,1
"Con_44_2","2","POBA",0.5,NA,NA,1,0
"Con_44_2","2","ABLA",0.3,NA,NA,1,0
"Con_44_4","1","ABLA",0.6,NA,NA,1,0
"Con_44_4","3","PIEN",0.3,NA,NA,1,0
"Con_BerryGlade_Unburned3","1","PICO",1.1,1,0.4,59,15
"Con_BerryGlade_Unburned3","1","POTR",0.7,NA,NA,2,0
"Con_BerryGlade_Unburned3","2","PICO",1.1,1,0.7,187,45
"Con_BerryGlade_Unburned3","2","POTR",1.1,0.3,NA,2,0
"Con_BerryGlade_Unburned3","3","PICO",0.6,1,1.3,179,53
"Con_BerryGlade_Unburned3","3","POTR",0.5,NA,NA,1,0
"Con_BerryGlade_Unburned3","4","PICO",1,1,1.1,57,25
"Con_BerryGlade_Unburned3","4","POTR",0.5,NA,NA,1,0
"Dec_51_1","4","POTR",0.9,1,NA,5,1
"Dec_51_1","3","POTR",0.9,1.1,NA,3,0
"Dec_51_1","3","ABLA",0.9,NA,NA,1,0
"Dec_51_1","2","POTR",1,0.8,1.3,8,1
"Dec_52_2","4","POTR",1.2,1.3,1.1,14,4
"Dec_52_2","4","PICO",0.9,NA,NA,1,0
"Dec_52_2","1","POTR",0.9,0.8,0.9,13,6
"Dec_52_2","2","PICO",0.3,NA,NA,1,0
"Dec_52_2","2","POTR",1.3,1.2,NA,4,0
"Dec_52_2","3","POTR",1,0.4,NA,5,0
"Dec_61_2","1","POTR",0.2,0.9,NA,2,0
"Dec_61_2","3","POTR",1.3,NA,NA,1,0
"Dec_61_2","2","POTR",0.8,1.3,NA,2,0
"Dec_62_5","1","POTR",0.9,0.7,0.7,7,0
"Dec_62_5","4","POTR",1,0.8,NA,4,1
"Dec_62_5","3","POTR",1,1.2,0.9,5,0
"Dec_62_5","2","POTR",1.3,0.7,1.1,7,2
"Shr_73_2","1","POBA",0.4,NA,NA,1,0
"Shr_73_2","2","POAN",0.8,0.2,NA,5,0
