"Plot_code","T","Intersect_begin","Intersect_end"
"Con_11_1",1.3,0,0.04
"Con_11_1",1.3,0.21,0.84
"Con_11_1",1.3,0.98,1.31
"Con_11_1",1.3,1.52,1.61
"Con_11_1",1.3,2.12,2.41
"Con_11_1",1.3,2.64,2.71
"Con_11_1",1.3,2.82,2.83
"Con_11_1",1.3,3.04,3.16
"Con_11_1",1.3,3.5,3.89
"Con_11_1",1.3,4.53,4.66
"Con_11_1",1.3,4.67,5.23
"Con_11_1",1.3,5.23,5.44
"Con_11_1",1.3,6.36,6.84
"Con_11_1",1.3,11.09,11.2
"Con_11_1",1.3,12.46,12.8
"Con_11_1",1.3,13.56,13.68
"Con_11_1",1.3,15.11,15.13
"Con_11_1",1.3,15.13,16.21
"Con_11_1",1.3,16.41,17.62
"Con_11_1",1.3,17.97,18.1
"Con_11_1",1.3,18.86,19.21
"Con_11_1",1.3,19.41,19.53
"Con_11_1",1.3,23.45,23.61
"Con_11_1",2,0.42,0.46
"Con_11_1",2,1.1,1.31
"Con_11_1",2,6.37,6.52
"Con_11_1",2,7.31,7.36
"Con_11_1",2,7.5,7.77
"Con_11_1",2,8.48,8.52
"Con_11_1",2,9.43,9.94
"Con_11_1",2,11.54,11.77
"Con_11_1",4,14.4,14.69
"Con_11_1",4,14.9,15.09
"Con_11_1",4,17.29,17.4
"Con_11_1",4,17.75,17.79
"Con_11_1",4,19.36,19.77
"Con_11_1",4,19.99,20.04
"Con_12_1",1.3,3.06,3.34
"Con_12_1",1.3,8.69,8.77
"Con_12_1",1.3,9.56,9.84
"Con_12_1",1.3,16.95,18.91
"Con_12_1",1.3,25.59,26
"Con_13_1-CWD",1.3,0.59,0.7
"Con_13_1-CWD",1.3,1.03,1.08
"Con_13_1-CWD",1.3,1.44,2.68
"Con_13_1-CWD",1.3,3.01,3.05
"Con_13_1-CWD",1.3,3.7,3.81
"Con_13_1-CWD",1.3,4.26,4.53
"Con_13_1-CWD",1.3,5.89,6
"Con_13_1-CWD",1.3,6.5,6.55
"Con_13_1-CWD",1.3,8.71,8.76
"Con_13_1-CWD",1.3,9.87,9.98
"Con_13_1-CWD",1.3,12.39,12.45
"Con_13_1-CWD",1.3,18.96,19.02
"Con_13_1-CWD",2,2.23,2.92
"Con_13_1-CWD",2,7.57,7.67
"Con_13_1-CWD",2,9.05,9.1
"Con_13_1-CWD",4,14.85,14.92
"Con_13_1-CWD",4,15.22,15.25
"Con_13_1-CWD",4,16.18,16.59
"Con_13_1-CWD",4,16.78,24.88
"Con_13_1-CWD",4,25.18,26
"Con_13_2",1.3,15.53,16.6
"Con_13_2",1.3,16.77,17.16
"Con_13_2",1.3,21.43,23.46
"Con_13_2",2,2.77,4.66
"Con_13_2",2,8.62,9.51
"Con_13_2",4,14.36,14.37
"Con_13_2",4,15.49,15.51
"Con_13_2",4,17.79,18.09
"Con_13_2",4,18.31,18.65
"Con_13_2",4,18.93,19.19
"Con_13_2",4,19.41,20.21
"Con_14_1",1.3,15.89,15.96
"Con_14_1",1.3,17.14,17.2
"Con_14_1",1.3,17.48,17.5
"Con_14_1",1.3,18.31,18.34
"Con_14_1",1.3,18.7,18.71
"Con_14_1",1.3,19.45,20.18
"Con_14_1",1.3,20.51,20.6
"Con_14_1",1.3,21.05,21.1
"Con_14_1",1.3,21.16,21.25
"Con_14_1",1.3,21.59,21.69
"Con_14_1",1.3,21.79,22.01
"Con_14_1",1.3,22.09,22.25
"Con_14_1",1.3,23.78,23.89
"Con_14_1",1.3,24.22,24.34
"Con_14_1",1.3,24.61,24.67
"Con_14_1",1.3,24.87,25.52
"Con_14_1",1.3,25.9,26
"Con_14_1",2,3.69,3.71
"Con_14_1",2,4.31,4.35
"Con_21_1",1.3,0.75,0.82
"Con_21_1",1.3,1.19,1.26
"Con_21_1",1.3,1.5,1.6
"Con_21_1",1.3,1.82,2.02
"Con_21_1",1.3,2.44,2.51
"Con_21_1",1.3,8.5,8.92
"Con_21_1",1.3,9.15,9.4
"Con_21_1",1.3,9.65,10.03
"Con_21_1",1.3,10.27,10.44
"Con_21_1",1.3,11.43,13.27
"Con_21_1",1.3,13.83,13.91
"Con_21_1",1.3,14.29,14.72
"Con_21_1",1.3,15.07,15.37
"Con_21_1",1.3,17.17,17.41
"Con_21_1",1.3,17.66,19.05
"Con_21_1",1.3,19.56,19.66
"Con_21_1",1.3,19.86,19.94
"Con_21_1",1.3,21.04,21.25
"Con_21_1",1.3,21.66,21.71
"Con_21_1",1.3,22.88,22.96
"Con_21_1",1.3,22.98,23.38
"Con_21_1",1.3,23.6,23.64
"Con_21_1",2,1.05,1.31
"Con_21_1",2,2.04,2.72
"Con_21_1",2,4.74,5.23
"Con_21_1",2,5.43,5.52
"Con_21_1",2,7.41,7.89
"Con_21_1",2,7.93,9.09
"Con_21_1",2,11.81,11.86
"Con_21_1",4,14.09,14.46
"Con_21_1",4,14.91,15.47
"Con_21_1",4,17.15,17.84
"Con_21_1",4,18.92,19.86
"Con_21_1",4,20.9,21.54
"Con_21_1",4,22.3,22.35
"Con_21_1",4,22.64,23.36
"Con_21_1",4,23.7,23.83
"Con_21_1",4,24.08,24.29
"Con_21_1",4,24.66,25.62
"Con_21_1",4,25.62,26
"Con_22_1",1.3,0.18,0.2
"Con_22_1",1.3,0.2,0.71
"Con_22_1",1.3,2.83,2.94
"Con_22_1",1.3,3.12,3.33
"Con_22_1",1.3,4.47,5.4
"Con_22_1",1.3,5.72,5.74
"Con_22_1",1.3,6.44,6.55
"Con_22_1",1.3,7.55,7.72
"Con_22_1",1.3,7.93,8.09
"Con_22_1",1.3,8.51,9.03
"Con_22_1",1.3,9.89,9.02
"Con_22_1",1.3,10.33,10.36
"Con_22_1",1.3,15.29,15.7
"Con_22_1",1.3,16.13,16.15
"Con_22_1",1.3,16.53,16.62
"Con_22_1",1.3,21.69,22.4
"Con_22_1",1.3,22.56,22.66
"Con_22_1",1.3,22.93,23.45
"Con_22_1",1.3,23.84,24.17
"Con_22_1",1.3,24.41,24.48
"Con_22_1",1.3,24.95,25.35
"Con_22_1",2,2.96,3.16
"Con_22_1",2,3.38,3.61
"Con_22_1",2,3.95,4
"Con_22_1",4,14.83,14.95
"Con_22_1",4,19.76,19.8
"Con_22_1",4,20.84,21.02
"Con_22_1",4,21.19,21.26
"Con_22_1",4,22.04,22.06
"Con_22_1",4,22.4,22.88
"Con_22_1",4,23.04,23.09
"Con_22_1",4,23.56,23.71
"Con_22_1",4,25.07,25.13
"Con_22_1",4,25.62,25.76
"Con_22_2",1.3,7.42,7.46
"Con_22_2",1.3,7.61,7.68
"Con_22_2",1.3,8.09,8.19
"Con_22_2",1.3,20.9,21.62
"Con_22_2",2,3.65,4.04
"Con_22_2",4,14.87,14.93
"Con_22_2",4,15.53,16.01
"Con_22_2",4,16.35,16.44
"Con_22_2",4,20.69,20.74
"Con_22_2",4,21.08,21.1
"Con_22_2",4,21.69,21.72
"Con_22_2",4,22.17,22.22
"Con_22_2",4,22.44,22.49
"Con_22_2",4,24.29,24.45
"Con_22_2",4,24.74,24.76
"Con_22_2",4,25.15,25.23
"Con_23_1",1.3,3.95,4.45
"Con_23_1",1.3,4.86,5.03
"Con_23_1",1.3,5.99,6.16
"Con_23_1",1.3,6.39,7.82
"Con_23_1",1.3,21.69,21.75
"Con_23_1",1.3,24.89,25.28
"Con_23_1",1.3,25.48,26
"Con_23_1",4,15.47,16.23
"Con_23_1",4,16.24,16.29
"Con_23_1",4,16.41,16.91
"Con_23_1",4,17.2,17.39
"Con_23_1",4,17.59,17.72
"Con_23_1",4,20.19,20.5
"Con_23_1",4,22.26,22.35
"Con_23_1",4,23.18,23.34
"Con_23_1",4,23.46,24.28
"Con_23_1",4,25.5,26
"Con_24_1",1.3,0.16,0.79
"Con_24_1",1.3,0.96,1.09
"Con_24_1",1.3,1.1,1.14
"Con_24_1",1.3,1.31,1.61
"Con_24_1",1.3,1.84,1.96
"Con_24_1",1.3,2,2.37
"Con_24_1",1.3,2.55,2.56
"Con_24_1",1.3,2.65,2.82
"Con_24_1",1.3,3.01,4.18
"Con_24_1",1.3,4.35,4.51
"Con_24_1",1.3,5.78,6.05
"Con_24_1",1.3,7.14,7.59
"Con_24_1",1.3,8.44,8.64
"Con_24_1",1.3,8.96,9.21
"Con_24_1",1.3,9.44,9.61
"Con_24_1",1.3,9.62,10.55
"Con_24_1",1.3,10.79,10.88
"Con_24_1",1.3,10.99,11.14
"Con_24_1",1.3,11.16,11.38
"Con_24_1",1.3,12.42,12.5
"Con_24_1",1.3,13.32,13.39
"Con_24_1",1.3,14.07,14.15
"Con_24_1",1.3,14.75,14.81
"Con_24_1",1.3,15.2,16.02
"Con_24_1",1.3,16.16,16.22
"Con_24_1",1.3,16.33,20.39
"Con_24_1",1.3,21.39,21.41
"Con_24_1",1.3,21.66,22.77
"Con_24_1",1.3,23.37,23.59
"Con_24_1",1.3,23.74,24.3
"Con_24_1",1.3,24.91,25.32
"Con_24_1",1.3,25.56,26
"Con_24_1",2,0,0.3
"Con_24_1",2,0.67,1.54
"Con_24_1",2,2.19,2.32
"Con_24_1",2,2.45,2.61
"Con_24_1",2,2.74,4.39
"Con_24_1",2,4.88,5.16
"Con_24_1",2,5.46,6.06
"Con_24_1",2,6.39,6.97
"Con_24_1",2,7.15,7.34
"Con_24_1",2,7.53,7.65
"Con_24_1",2,8.41,8.96
"Con_24_1",2,9.57,9.76
"Con_24_1",2,10.38,10.52
"Con_24_1",2,10.52,10.56
"Con_24_1",2,11.11,11.45
"Con_24_1",2,11.74,11.91
"Con_24_1",4,14.55,14.56
"Con_24_1",4,15.05,15.25
"Con_24_1",4,18.06,18.52
"Con_24_1",4,18.61,18.69
"Con_24_1",4,18.86,18.91
"Con_24_1",4,19.3,19.98
"Con_24_1",4,20.4,20.74
"Con_24_1",4,20.89,21.01
"Con_24_1",4,21.19,21.28
"Con_24_1",4,21.53,21.71
"Con_24_1",4,21.73,22.1
"Con_24_1",4,22.17,22.19
"Con_24_1",4,22.4,22.5
"Con_24_1",4,22.54,23.39
"Con_24_1",4,23.55,24.4
"Con_24_1",4,24.92,25.42
"Con_24_1",4,25.67,26
"Con_31_1",1.3,0.21,0.36
"Con_31_1",1.3,1.62,1.66
"Con_31_1",1.3,1.87,1.96
"Con_31_1",1.3,8.37,8.98
"Con_31_1",1.3,14.42,14.56
"Con_31_1",1.3,16.73,16.74
"Con_31_1",1.3,20.14,20.26
"Con_31_1",1.3,20.59,20.72
"Con_31_1",1.3,20.94,21.16
"Con_31_1",1.3,23.6,24.44
"Con_31_1",1.3,25.21,25.23
"Con_31_1",1.3,25.46,25.62
"Con_31_1",2,0,0.62
"Con_31_1",2,0.65,0.9
"Con_31_1",2,1.12,1.27
"Con_31_1",2,3.89,4.75
