        Grand Teton        Wyoming 
Daily Data run on 1/20/2021 10:52
                    Day   Day  Solar            Wind                    Air                    Relative                
                    of    of    Rad.    Speed   Dir.    Speed       Temperature                Humidity         Precip.
 Date        Year   Year  Run  Total     Ave.  Vector   Gust    Ave.    Max.    Min.     Ave.    Max.    Min.   Total  
                              kW-hr/m2    m/s    deg.     m/s        Deg. C                      percent          mm  
 07/25/2016  2016   207     1   8.195    1.88     259    9.84    18.2    30.6     3.9      35      77      10    0.00
 07/26/2016  2016   208     2   7.808    2.63     329   13.86    19.8    30.0     5.6      32      75      10    0.00
 07/27/2016  2016   209     3   7.871    2.25     289    8.49    19.3    29.4     6.7      34      69      12    0.00
 07/28/2016  2016   210     4   8.017    2.38     320    9.39    20.3    29.4    12.2      35      61       9    0.00
 07/29/2016  2016   211     5   7.533    2.12     282    8.05    19.2    30.0     8.3      41      82      13    0.00
 07/30/2016  2016   212     6   6.490    3.22     221   12.07    19.2    30.0     8.3      43      71      17    0.00
 07/31/2016  2016   213     7   7.497    2.94     208   15.20    20.0    30.0     7.2      43      89      14    0.00
 08/01/2016  2016   214     8   7.248    2.48     250   10.73    19.1    29.4     8.3      30      59      10    0.00
 08/02/2016  2016   215     9   6.900    3.43     215   13.86    18.7    30.0     4.4      32      61      16    0.00
 08/03/2016  2016   216    10   8.015    2.89     243   16.99    18.8    26.7     6.7      26      63       4    0.00
 08/04/2016  2016   217    11   7.952    2.20     265    9.39    15.7    28.3     2.8      28      57       8    0.00
 08/05/2016  2016   218    12   6.484    2.76     127    9.39    19.1    29.4     4.4      33      79       6    0.00
 08/06/2016  2016   219    13   5.472    2.38     236   14.75    18.1    26.7     7.8      45      80      22    0.00
 08/07/2016  2016   220    14   2.987    1.88     231    9.39    12.6    20.0     5.6      72      90      43    0.51
 08/08/2016  2016   221    15   5.805    2.29     251   14.31    15.3    26.1     3.9      54      99      14    0.00
 08/09/2016  2016   222    16   6.225    3.11     243   15.65    16.7    26.7     5.6      35      61      12    0.00
 08/10/2016  2016   223    17   7.491    2.72     262   14.75    14.7    25.0     3.9      40      75      16    0.00
 08/11/2016  2016   224    18   6.383    2.20     290   10.28    14.6    23.3     6.7      39      63      19    0.00
 08/12/2016  2016   225    19   7.074    1.75     266    8.05    14.5    25.0     2.2      41      78      16    0.00
 08/13/2016  2016   226    20   7.255    2.01     259   10.28    16.1    27.8     3.3      36      71      13    0.00
 08/14/2016  2016   227    21   5.332    2.20     272   13.86    15.8    27.8     4.4      37      64      14    0.00
 08/15/2016  2016   228    22   6.052    2.14     243   11.62    17.9    29.4     6.1      37      70      12    0.00
 08/16/2016  2016   229    23   5.993    1.70     272   10.73    18.0    28.9     5.6      38      71      13    0.00
 08/17/2016  2016   230    24   4.043    1.90     249   12.07    16.9    27.8     8.3      42      63      16    0.00
 08/18/2016  2016   231    25   4.155    2.09     173   11.62    14.8    25.0     8.9      61      93      23    0.76
 08/19/2016  2016   232    26   6.863    3.41      12   11.18    14.2    22.8     6.1      52      95      13    0.00
 08/20/2016  2016   233    27   6.938    1.64     301    6.71    12.6    25.6     0.0      45      89       8    0.00
 08/21/2016  2016   234    28   7.021    2.50     228   14.75    15.7    28.3     1.7      33      71      10    0.00
 08/22/2016  2016   235    29   6.606    3.32     234   13.41    16.4    26.7     3.3      27      65       7    0.00
 08/23/2016  2016   236    30   6.046    2.42     232   15.20    13.8    21.7     3.3      23      45      12    0.00
 08/24/2016  2016   237    31   5.870    3.09      18   12.07    11.7    22.8     0.6      36      66      11    0.00
 08/25/2016  2016   238    32   5.691    3.17     223   13.41    11.2    20.0     1.7      52      88      23    0.00
 08/26/2016  2016   239    33   5.419    2.40     226   10.73    12.1    22.2     3.3      43      79      16    0.00
 08/27/2016  2016   240    34   5.694    2.38     242   12.52    12.6    23.9    -0.6      37      71      13    0.00
 08/28/2016  2016   241    35   6.274    1.79     279    8.49    14.3    26.7     1.1      37      68      14    0.00
 08/29/2016  2016   242    36   6.390    2.20     232   10.28    16.9    28.9     2.8      37      77       9    0.00
 08/30/2016  2016   243    37   6.189    1.90     261    9.84    18.1    30.0     5.6      35      70       9    0.00
 08/31/2016  2016   244    38   4.875    1.84     280    9.39    18.2    29.4     6.7      34      71      12    0.00
 09/01/2016  2016   245    39   4.198    2.25     269   15.65    16.7    26.1     8.3      42      66      19    0.25
 09/02/2016  2016   246    40   4.472    2.92     267   13.41    15.9    24.4     5.6      55      85      22    0.76
 09/03/2016  2016   247    41   4.770    2.72     321   12.52    14.8    21.7     5.0      49      95      18    0.00
 09/04/2016  2016   248    42   4.426    3.06     276   14.75    12.1    20.0     6.7      59      82      29    1.02
 09/05/2016  2016   249    43   4.116    3.33     226   11.18     7.8    13.9     1.7      66      99      31    2.79
 09/06/2016  2016   250    44   6.256    3.09     215   12.07     9.6    20.0    -2.8      48      92      14    0.00
 09/07/2016  2016   251    45   6.165    3.60     212   11.18    13.6    19.4     8.3      35      55      20    0.00
 09/08/2016  2016   252    46   5.509    4.08     214   13.41    13.3    18.9     6.1      36      60      26    0.00
 09/09/2016  2016   253    47   6.206    2.68     334   10.73    10.2    18.3     0.6      32      57      17    0.00
 09/10/2016  2016   254    48   6.104    2.05     259    8.49    10.0    22.2    -2.8      33      70      11    0.00
 09/11/2016  2016   255    49   5.938    4.36     225   22.80    13.9    25.0    -2.2      27      59      10    0.00
 09/12/2016  2016   256    50   2.759    4.62       7    9.84     9.7    12.8     5.0      62      96      43    1.78
 09/13/2016  2016   257    51   3.941    1.88     249    8.49     8.7    17.2     3.3      78      94      48    7.62
 09/14/2016  2016   258    52   3.888    2.98     232   13.86     7.8    13.9     5.0      86      99      49    6.10
 09/15/2016  2016   259    53   3.142    1.28       3    6.26     8.2    13.9     4.4      75      98      38    0.25
 09/16/2016  2016   260    54   4.183    1.17     323    4.92     7.5    17.8    -0.6      69      98      31    0.00
Copyright: Western Regional Climate Center - Desert Research Institute - Reno, Nevada.
Data are subject to further review and editing.  Please refer any questions to the Western Regional Climate Center.

