"sample_id","x_ctr","y_ctr","age","rdnbr","elev_m","slope_deg","aspect_deg","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
1,523642.673653635,4878744.91209093,"young",949,2275.6540206955,14.3719368358895,33.3554871535349,"2.95","0.812283464566929","73.3404636294587","0.15","0.2725","0.71","1.25","1.66","2.41","1.95121951219512","60"
2,525661.428091404,4880215.03105843,"young",370,2142.86537231445,2.90981245553171,255.851961525444,"7.41","3.29406661502711","54.4668448696157","0.2","2.2","3.58","4.61","5.4","6.58799999999999","48.0861244019139","11.3397129186603"
3,526224.019420158,4881454.27445116,"young",513,2122.75448778857,4.63903193863765,157.900906065171,"9","3.78021263289556","52.3246056150893","0.2","2.81","4.06","5.175","6.076","7.6308","68.3116883116883","8.05194805194805"
4,520309.579286832,4878246.79422749,"young",338,2310.13442003603,6.5209810902185,30.2370109591942,"27.88","4.06261179828735","95.8924763476593","0.16","0.45","3.87","5.7175","7.159","21.2961999999999","52.7435610302352","17.170586039567"
5,524636.580889341,4879386.71290087,"young",1035,2243.8588290914,11.8199636775592,33.8857779527657,"7.96","3.12281981491562","55.0374422647055","0.22","2.13","3.22","4.31","5.33","6.7692","56.6067864271457","14.6506986027944"
6,520480.904382869,4875853.11529707,"young",787,2390.1698837662,4.9704746978698,123.969237067384,"9.21","2.23073554065381","87.2393304816735","0.12","0.31","1.94","3.75","5","6.9429","38.4691848906561","39.7614314115308"
7,525746.07727385,4881015.29726373,"young",653,2102.05837184396,9.52850747165793,283.132300203228,"8.36","3.52732804232804","51.5664397712579","0.24","2.49","3.67","4.77","5.749","7.4545","58.224907063197","9.61895910780669"
8,524552.898705118,4878011.66135901,"young",732,2261.61879943848,8.13431393311566,48.7206794755949,"22.5","2.92410999408634","78.8569431085252","0.16","0.71","2.87","4.34","5.64","7.663","46.3506711409396","23.238255033557"
9,525160.742338062,4879348.79281336,"young",81,2154.35423642113,5.93245541837417,303.799653870337,"15.2","4.05275514673675","63.6608910630248","0.18","0.54","4.76","5.98","6.96","8.4518","70.9129511677282","11.3375796178344"
10,526167.848422703,4880476.93811233,"young",572,2230.47078450521,11.2033889106489,302.837725460382,"12.3","3.63945692883895","57.2878049281532","0.18","2.55","3.92","5.12","6.15","7.523","61.5076474872542","11.143481427531"
11,520979.172761741,4876355.72033664,"young",1000,2250.09399414062,10.4309743568032,72.1904510204373,"15.1","3.13600253807107","73.986065001896","0.13","0.31","3.35","5.03","6.11","7.6325","43.1865828092243","20.167714884696"
12,524336.907963439,4878976.04478934,"young",912,2234.07190313907,9.11301971556152,219.405557401781,"11.03","3.7256015037594","61.807958324081","0.19","1.005","4.28","5.45","6.36","7.68420000000001","67.4020540129327","12.4381894256371"
13,524025.234553798,4878260.86410213,"young",680,2327.70191416805,7.88865484579606,31.4383568971034,"19.03","2.09444560669456","135.206173903992","0.2","0.52","1.68","2.3525","3.209","17.0913","25.8258258258258","44.9324324324324"
14,525049.599911034,4877575.98692998,"young",680,2258.71544199592,11.5933637526563,266.520520306582,"8.72","3.44589102564103","56.8266716448031","0.19","2.44","3.665","4.79","5.79","7.5964","54.5695364238411","11.7439293598234"
15,520168.878259452,4877225.89015218,"young",241,2364.20861968614,10.5539484533737,48.5809497816841,"23.58","2.42179487179487","120.817941828668","0.136","0.25","1.77","3.77","5.364","14.9738","26.5013054830287","28.3289817232376"
16,526693.325146244,4877019.63325309,"young",395,2316.07471309139,7.1351834782854,111.529525339513,"16.3","3.72051936619718","71.844972938538","0.17","0.46","4.09","5.77","7.04","8.73","55.9485530546624","18.4351554126474"
17,523985.319700563,4879646.58142802,"young",1023,2163.3813606279,23.9358080683805,310.932748865999,"11.78","1.00481888035126","72.3760174491858","0.19","0.45","0.93","1.45","1.87","2.8395","5.59559135226791","71.5981348028826"
18,524973.21055602,4880136.13676549,"young",498,2107.34497924805,5.38330486703855,13.2532074214349,"10.71","3.81461311281748","62.9482115342925","0.17","2.12","4.07","5.72","6.77","8.2008","55.8037669732808","12.5273762593079"
19,525705.131839409,4879374.61135957,"young",140,2215.55455594945,19.8731655639016,299.484948595988,"10.31","2.00268915223336","106.365396868829","0.116","0.27","0.9","3.55","5.274","7.97","21.8533201189296","31.8136769078295"
