"sample_id","x_ctr","y_ctr","weather","prev_fire","date","rdnbr","elev_m","slope_deg","aspect_deg","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
1,517300.566628735,4874592.75183592,"moderate","none","809",198,2399.50479476258,9.53231873504552,125.882703286732,"29.75","11.7579083969466","68.5520463548524","0.67","4.445","11.53","18.54","22.92","27.1812","81.3572542901716","12.890015600624"
2,522508.599714274,4869305.91243608,"moderate","wilcox","829",719,2343.71843596181,25.4624502347045,336.128358062272,"36.49","4.86546382978723","195.518425178677","0.05","0.16","0.33","0.93","23.056","34.2442","11.2773917691074","44.5750935328701"
3,515804.687691791,4873659.89380179,"moderate","none","902",564,2606.59252717094,3.60731488626059,62.3123488748336,"31.84","11.4020996657551","71.6784871601447","0.2","3.605","12.31","17.3","21.77","29.949","63.0833333333333","18.3611111111111"
4,520376.21285611,4872901.41866316,"moderate","none","821",600,2491.28487573501,20.5885385227314,47.4397295680997,"26.02","8.9955969458584","65.8932174546032","0.3","4.3525","9.25","13.18","16.879","22.0179","72.8574728574729","14.1603141603142"
5,522429.219192583,4869989.22749669,"moderate","wilcox","828",435,2109.12583251953,8.73103260444556,325.74040836377,"29.69","1.86045548654244","290.829775353769","0.052","0.13","0.24","0.46","1.36","25.9048","2.70610446821901","27.0610446821901"
6,526744.56169467,4885229.15926607,"moderate","none","917",1,2112.02120290962,5.52480006958034,239.773743407961,"26.89","6.6467149508536","86.0590849161372","0.18","1.13","6.33","9.39","13.166","24.5868","58.476442095993","14.2668428005284"
7,522796.042909319,4868655.57893294,"moderate","wilcox","830",690,2565.74648775695,14.8572042612051,38.0570379550167,"32.39","3.973460591133","191.237649697308","0.04","0.15","0.3","1.01","17.225","30.142","12.2378550570746","46.7746217148925"
8,523365.809868642,4869472.02443187,"moderate","wilcox","827",324,2365.13513920193,24.0030873044061,85.8490174483175,"20.5","0.981911987860395","303.22325399598","0.03","0.12","0.24","0.355","0.602","16.421","2.52016129032258","30.3931451612903"
9,518150.053740396,4873668.27086837,"moderate","none","821",929,2223.49304241973,7.48209520694996,155.033826692966,"34.57","8.57020173586676","93.8674434253281","0.2","0.91","6.79","13.83","20.266","31.4052","63.3610161211529","24.8900830483635"
10,517568.955858326,4874060.35346347,"moderate","none","821",241,2351.98667013687,8.3451396299017,70.4897539468612,"27.57","12.7145571458204","60.7443331728544","0.31","6.13","14.3","19.5","21.81","23.69","77.8828828828829","11.5540540540541"
