"Plot_code","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
"Con_11_1","8.18","2.42615384615385","97.1054416092266","0.12","0.18","2.28","4.24","5.844","7.6336","20.1663201663202","15.9043659043659"
"Con_12_1","18.12","4.34202225755167","84.9390622471326","0.16","0.519","3.95","6.929","9.426","14.1876","40.398740818468","17.8384050367261"
"Con_13_1-CWD","22.2","6.93475177304965","103.300220643999","0.1","0.15","4.9","13.37","17.31","20.9196","15.1828298887122","13.1160572337043"
"Con_13_2","17.15","5.12720737327189","81.7781078100504","0.24","1.49","4.27","7.97","11.518","15.6028","42.3099587507366","14.0247495580436"
"Con_14_1","20.44","6.18102118003026","91.7949370193674","0.15","0.33","5.04","10.809","15.02","18.61","28.5024154589372","14.8148148148148"
"Con_21_1","21.59","4.47696027633851","110.026718268327","0.16","0.39","3.04","6.6275","11.195","20.0759","50.3300330033003","32.8382838283828"
"Con_22_1","22.53","7.80656338028169","72.930792310721","0.17","3.22","7.64","11.925","14.838","22.0078","49.8039215686275","11.9607843137255"
"Con_22_2","22.64","8.12805251641138","68.2886731346248","0.263","3.5575","8.29","11.8775","14.932","21.1622","56.1597281223449","8.92098555649958"
"Con_23_1","23.65","7.34299790356394","81.5783988723798","0.2","2.82","6.04","11.0225","16.548","21.8647","56.2600321027287","11.3964686998395"
"Con_24_1","28.35","9.48186922530206","89.0941086380685","0.27","0.6","8.51","17.285","21.074","24.5534","56.052824651504","27.7329420396185"
"Con_31_1","23.96","6.43449426485923","83.9304367466061","0.2","2.875","5.29","8.27","14.676","21.681","65.590405904059","10.6088560885609"
"Con_32_1","23.46","6.75201762977473","78.5272293046839","0.24","2.01","6.53","9.81","13.62","21.32","56.2649640861931","15.6424581005587"
"Con_32_2","23.46","7.39711247803163","82.3222662190388","0.19","0.44","7.6545","12.61","15.25","19.7345","52.8317836010144","20.4564666103128"
"Con_33_1","25.24","9.21467479674797","73.4857922560474","0.21","3.04","8.685","14.1825","18.997","23.6","65.462962962963","10.0925925925926"
"Con_33_2","27.24","9.11945216680294","71.0682016663052","0.304","3.145","9.3","13.8","17.816","23.3356","63.2956152758133","12.022630834512"
"Con_34_2","25.16","11.2718431372549","78.0066402573223","0.19","2.2775","13.26","19.95","21.711","24.1605","60.4895104895105","14.6853146853147"
"Con_41_1","17.89","7.63404966442953","56.371448314774","0.42","4.339","8.05","11.06","12.9596","15.6752","66.1955241460542","6.59599528857479"
"Con_42_1","22.97","10.3145148356055","60.9480617582526","0.22","5.28","11.36","15.24","17.8","21.25","73.5833333333333","7.5"
"Con_42_2","25.1","7.66416019127316","83.2309146950684","0.31","1.89","6.61","12.08","16.89","23.2928","71.3925645872716","19.9747952110901"
"Con_43_2","23.06","12.7599780461032","43.0988387693053","4.46","9.355","13.7","16.645","19.29","22.289","72.9933899905571","2.17186024551464"
"Con_44_2","39.57","16.2772144846797","69.7215953200392","0.3","5.7275","16.04","25.5925","31.815","37.114","76.7402376910017","14.0916808149406"
